"citationId:ID","presentationNumber","sessionType","title","authorCount:int","startPage:int","backgroundSnippet","conclusionSnippet","hasFigures:boolean",":LABEL"
"jjaf231.275","P0094","Poster","Gut microbiota-related bile acid metabolism-FXR/TGR5 axis impacts the response to anti-α4β7-integrin therapy in humanized mice with colitis","6","623","The gut microbiota and bile acid metabolites are key determinants in the response to biologic therapy for inflammatory bowel disease. 
However, the molecular mechanisms underlying the interaction between the treatment response to α4β7 integrin antagonists and the gut microbiota 
and bile acid metabolites remain unclear. This study explores the response and mechanism of action of inflammatory bowel disease to α4β7 integrin 
antagonists based on the gut microbiota-bile acid metabolite-FXR/TGR5 axi","The gut microbiota-bile acid metabolite-FXR/TGR5 axis may be a potential mechanism affecting the response of inflammatory bowel 
disease to α4β7 integrin antagonists.","false","Abstract"
"jjaf231.276","P0095","Poster","Evolving immune signatures with disease duration reveal new therapeutic windows in ulcerative colitis","9","624","Associations between disease duration and achieving remission are well established in Crohn’s disease (CD), but remain unclear in 
ulcerative colitis (UC)1-3. At the molecular level, oxidative phosphorylation and mitochondrial dysfunction have been linked to prolonged disease 
duration in CD, but not in UC4. Understanding molecular changes throughout the disease course is key to refine patient stratification and uncover 
pathways driving (sub)mucosal remodelling.","We identified reduced T cell, B cell, and adaptive immunity signatures in UC biopsies with longer disease duration, independent of 
inflammation or biological exposure. Key regulators included IZKF1 and IZKF3– drivers of Th17-Treg plasticity8 - and BANK1, modulating B 
cell-Treg interactions9. These findings highlight altered immune regulation along disease progression and suggest opportunities for duration-tailored 
therapeutic.","true","Abstract"
"jjaf231.277","P0096","Poster","ATG16L1 T300A alters autophagosomal cargoes and modulates inflammation in Crohn’s Disease","6","628","Dysregulation of autophagy, a key cellular multi-step process for degrading damaged organelles and intracellular pathogens has been 
implicated in Crohn’s disease (CD) and revealed by various susceptibility genes including ATG16L1. We recently identified altered autophagy flux in 
patients carrying the variants CD-related ATG16L1 T300A1. We hypothesize that this defect compromises autophagic cargo clearance, thereby 
impairing cellular homeostasis and promoting inflammation.","Our data indicate that the ATG16L1 T300A variant reshapes the autophagosomal proteome, selectively enriching proteins with antimi­
crobial and anti-inflammatory functions. This modified cargo landscape offers new mechanistic support for a role of autophagy-related polymorphisms 
in regulating inflammatory responses in CD.","false","Abstract"
"jjaf231.278","P0097","Poster","Wearable perspiration sensor for continuous inflammation tracking in Inflammatory Bowel Disease","7","629","Wearable sensors present an opportunity to monitor inflammation via noninvasive media such as perspiration, which may be sampled 
continuously to track inflammation-related markers in patients with inflammatory bowel disease (IBD). Here, we demonstrate the use of a perspiration 
sensor for C-reactive protein (CRP) and calprotectin, and the important clinical significance of these markers.","We report the use of a noninvasive perspiration-based sensor for tracking inflammatory markers in patients with IBD. Our findings 
demonstrate consistency of measurements of perspiration CRP and calprotectin compared with corresponding serum and stool measurements, thereby 
supporting the utility of our perspiration sensor for noninvasive IBD monitoring.","true","Abstract"
"jjaf231.279","P0098","Poster","Collagen-producing, GFP-tagged bone-marrow derived cells migrate to colonic lamina propria and may contribute to intestinal fibrosis in a murine model of colitis","6","631","Intestinal fibrosis is a common and severe complication of Crohn’s disease (CD). A central feature is the deposition of collagen resulting 
in stiffening and narrowing the bowel.
Fibrocytes are a bone marrow (BM)-derived, CD45+, CD11b+. vimentin- and collagen-expressing cells contributing to fibrosis in multiple organs 
such as the lung and liver. We previously reported an increase of fibrocytes in blood and fibrostenotic tissue from CD patients. However, the origin 
of these cells, presumed fib","Cyclical exposure to DSS elicits intestinal fibrosis in Col-GFP mice demonstrating this is a suitable model to explore the cellular source(s) 
leading to collagen deposition during intestinal fibrosis. Furthermore, bone marrow-derived, collagen-expressing GFP+ cells migrate to the colon 
under homeostatic conditions. This suggests that, in addition to local mesenchymal cells, bone marrow-derived cells may contribute to intestinal 
collagen deposition in health and disease. Future experiments wil","false","Abstract"
"jjaf231.280","P0099","Poster","Investigating Arginase-2 target site blockers as a therapeutic strategy in acute Inflammatory Bowel Disease","8","632","Macrophage cells, as key meditators of inflammatory processes and their capacity to polarise from a pro-inflammatory (M1) to an 
anti-inflammatory (M2) phenotype are promising therapeutic targets in inflammatory bowel disease (IBD). Arginase enzymes, Arg1 and Arg2, regulate 
cellular metabolism, immune responses and proliferation through the urea cycle. These enzymes are broadly considered markers of an M2 macrophage 
status, particularly Arg1. Our previous work identified that Arg2 is unique in","These initial studies indicate that prophylactic i.p. administration of 20mg/kg Arg-2 TSB may be protective and ameliorate DAI in the 
2.5% DSS murine model of colitis.","false","Abstract"
"jjaf231.281","P0100","Poster","Role of Ethyl Pyruvate on Large Intestinal Inflammatory and Oxidative Markers in TNBS-Induced Colitis","8","634","Ethyl pyruvate (EP), with anti-inflammatory and antioxidant effects, has shown therapeutic potential in inflammation models. This 
study examined EP’s effects on inflammatory and oxidative markers in the large intestine using a 2,4,6-trinitrobenzene sulfonic acid (TNBS)-induced 
colitis rat model.","EP demonstrated both protective and therapeutic effects in TNBS-induced colitis by reducing pro-inflammatory markers (MMP-2, 
MMP-9, NFκB, iNOS, IL-1, IL-17) and enhancing TAC in large intestinal tissue. These findings suggest that EP may be a promising agent in modu­
lating intestinal inflammation and oxidative stress associated with colitis.","false","Abstract"
"jjaf231.282","P0101","Poster","RNF138 Safeguards Intestinal Epithelium by maintaining glucose metabolism to Counteract Metabolic-Inflammatory Synergistic Attack","7","635","The pathogenesis of ulcerative colitis (UC) involves complex interactions between dietary metabolites and inflammatory mediators. 
Increased intake of unsaturated fatty acids is considered a critical stressor. Although current UC therapies primarily target inflammatory responses, 
effective interventions preventing initial epithelial injury remain elusive.","RNF138 was identified as a key regulator of intestinal epithelial metabolic homeostasis during combined lipid and inflammatory stress, 
highlighting its substantial potential as an early interventional target for UC.","true","Abstract"
"jjaf231.283","P0102","Poster","TREM-1 as a contributing driver of inflammatory pathways in Crohńs disease","4","637","Biologic therapies for Crohn’s disease (CD) often fail to address innate immune-driven inflammation, leaving many patients unresponsive 
and inadequately managed1.
Triggering receptor expressed on myeloid cells-1 (TREM-1) has been identified as a potential therapeutic target in inflammatory bowel disease (IBD)1. 
Microbial stimuli upregulate TREM-1 in intestinal myeloid cells, amplifying innate immune responses via the additional cross-interaction of increased 
Toll-like receptor (TLR) and Nucle","TREM-1 signature elevation in myeloid and non-myeloid cells in inflamed ileal tissue, particularly in ulcerated regions, underscores its 
relevance in CD. PGN/PGLYRP1-induced dose-dependent cytokine release and enhanced TREM-1 signalling in monocytes support its role in driving 
acute inflammation. Transcriptomic and proteomic signatures resembling CD patient biopsies further support targeting TREM-1 to address unmet 
clinical needs in CD.","false","Abstract"
"jjaf231.284","P0103","Poster","Effect of nicotine on the inflammatory profile of mesenchymal stem cells and mesenteric adipose tissue in Crohn’s disease and Ulcerative Colitis","10","638","Smoking exerts opposite effects on inflammatory bowel diseases (IBD): it worsens Crohn’s disease (CD) while appearing protective in 
ulcerative colitis (UC).1 The specific tobacco component responsible for these contrasting effects remains unclear. Adipose-derived mesenchymal stem 
cells (AdMSCs) from the mesentery play a key role in immune regulation and intestinal homeostasis. Our group previously reported functional 
impairments in these cells in CD, potentially contributing to local inflamma","Nicotine promotes a pro-inflammatory phenotype in mesenteric AdMSCs and adipose tissue from CD patients, while its impact in UC 
appears blunted. These opposing cellular effects may mechanistically underlie the divergent clinical influence of smoking in IBD, highlighting the 
mesenteric adipose compartment as a key mediator of tobacco-driven immune modulation.","false","Abstract"
"jjaf231.285","P0104","Poster","Fatty Acid Ethanolamides as a Possible Novel Inflammatory Target in the Gut–Brain Axis","9","640","Fatty acid ethanolamides are endogenous lipid mediators known to attenuate inflammatory processes and reduce pain sensitivity. Among 
the emerging pharmacological targets for inflammatory bowel disease (IBD), palmitoylethanolamide (PEA) has gained particular attention due to its 
robust anti-inflammatory properties. PEA belongs to the N-acylethanolamine (NAE) lipid family, together with oleoylethanolamide (OEA). Both 
OEA and PEA are potent endogenous ligands of PPAR-α, a nuclear receptor that r","Taken together, these findings indicate that induction of the PD model may shift colonic inflammation toward a myeloid-enriched profile, 
mirroring the initial inflammatory stages of IBD","false","Abstract"
"jjaf231.286","P0105","Poster","LC-MS/MS assay for etrasimod plasma concentration using phreephospholipid removal technology: Supporting pharmacokinetic variability and individualized dosing in hospital practice","5","641","Etrasimod, a oral, once-daily, selective sphingosine 1-phosphate receptor subtype 1, 4, and 5 (S1P1,4,5) modulator, represents a significant 
therapeutic advancement in the treatment of moderately to severely active ulcerative colitis [1,2]. The primary objective of this project was to develop, 
fully validate, and prepare for clinical implementation an ultra-sensitive LC-MS/MS method for the precise and selective determination of etrasimod 
concentrations in patient plasma, suitable for routine","The developed LC-MS/MS method and the PhreePhospholipid sample cleanup, demonstrated exceptional performance and robustness, 
fully meeting all regulatory requirements for bioanalytical validation. This method provides a reliable foundation for the pharmacokinetic variability 
and safety monitoring of etrasimod as well as patients adherence within our hospital.","false","Abstract"
"jjaf231.287","P0106","Poster","Serum interleukin profiling identifies IL-23/Th17 axis activation and IL-10 suppression in treatment-naïve ulcerative colitis","8","642","Ulcerative colitis (UC) is driven by a dysregulated mucosal immune response. Interleukins (ILs) orchestrate both pro-inflammatory and 
regulatory pathways, but their systemic profiles before therapeutic intervention remain unclear.
Identifying early cytokine signatures may help stratify disease and guide precision immunotherapy.
This meta-analysis aimed to characterise the serum interleukin landscape of treatment-naïve adult UC.","Across available studies, treatment-naïve UC demonstrates consistent serum cytokine changes characterised by higher IL-23, IL-17A and 
IL-8 and lower IL-10 compared with healthy controls.
This pattern may reflect upstream immune pathway activity in early disease and could support further evaluation of serum interleukins as potential 
non-invasive biomarkers in UC.","true","Abstract"
"jjaf231.288","P0107","Poster","Bronchiectasis as an underrecognized extra-intestinal manifestation of Inflammatory Bowel Disease","3","644","Inflammatory bowel disease (IBD) often presents with extra-intestinal manifestations (EIMs). Pulmonary involvement is rare and 
underrecognized, yet it can have major clinical consequences for patients. The most common pulmonary EIM is bronchiectasis (BE). Preliminary 
evidence suggests that IBD-associated BE (IBD-BE) leads to increased healthcare use and higher mortality compared to IBD alone (1). This study aims 
to characterize patients with IBD-BE, assess diagnostic trajectories, and evaluat","This is the first cohort study to assess patient characteristics and treatment outcomes in IBD-BE patients, suggesting that IBD-BE is a 
distinct disease entity with specific features that may benefit from a treatment approach different from non-IBD-BE, laying the foundation for larger 
prospective studies. Early diagnosis and timely therapeutic interventions are crucial for improving patient outcomes.","true","Abstract"
"jjaf231.289","P0108","Poster","Harnessing in vivo models to discover new therapies for Inflammatory Bowel Disease","11","647","Clinical success of therapies in inflammatory bowel disease (IBD) is capped at a 30-40% remission rate after one year, highlighting the 
need for new therapeutics. Robust preclinical in vivo models are essential to investigate novel drugs in IBD. Several studies describe rodent models 
recapitulating certain features of ulcerative colitis (UC) and Crohn’s disease (CD). However, systematic cross-model characterization with shared and 
translatable endpoints is limited. Here, we aim to establish a","This integrated platform delivers reproducible kinetics, inflammatory and fibrotic readouts, and SoC validation. Together, these models 
capture distinct features of UC and CD, enabling selection of the most appropriate in vivo setting to investigate novel targets and accelerating 
preclinical-to-clinical translation for next-generation IBD therapeutics.","false","Abstract"
"jjaf231.290","P0109","Poster","The role and mechanism of aerobic exercise on improving DSS-induced intestinal inflammation by regu­ lating mitophagy through AMPK-SIRT1-FOXO1 pathway","9","649","Studies have found that inflammatory bowel disease (IBD) is associated with mitochondrial dysfunction. Exercise is an effective behav­
ioral therapy to promote mitochondrial health. This study explores the therapeutic value and potential mechanism of aerobic exercise in improving 
chronic intestinal inflammation.","Aerobic exercise plays a therapeutic role in IBD by activating AMPK-SIRT1-FOXO1-mediated mitophagy, timely clearing damaged 
mitochondria and reducing the damage effects of oxidative stress on animals and cells.","false","Abstract"
"jjaf231.291","P0110","Poster","Mesenteric lymphatic dysfunction in Creeping Fat is ameliorated via FABP5 inducing Fatty Acid metabolic Reprogramming to Alleviate Enteritis in Crohn’s disease","4","650","Creeping fat (CrF), a hallmark manifestation of Crohn’s disease (CD), is linked to inflammatory intestinal stricture and perhaps post­
operative recurrence. Mesenteric lymphatic vessel (MLV) dysfunction is closely associated with CrF formation, however, the mechanism underlying 
MLV involvement remains unelucidated.","FABP5 reprograms fatty acid metabolism via FABP5/PPARγ/CPT1A in CrF-LEC, improving lymphatic function to relieve CD inflam­
mation, offering a new target for CD lymphatic-targeted therapy.","true","Abstract"
"jjaf231.292","P0111","Poster","Differential ex vivo responses to GLPG3970 in bio-naive and bio-experienced biopsies from patients with UC","9","653","GLPG3970 targeted inhibition of salt-inducible kinases (SIK) 2/3 combines anti-inflammatory and immunoregulatory activity.1,2 
GLPG3970 showed positive effects on histology, endoscopy and faecal calprotectin in a 6-week phase 2a signal-detection study, consistent with 
preclinical findings of pro-inflammatory cytokines suppression and goblet cell protection, although without differentiation from placebo for total 
Mayo Clinic Score.2-5 Building on our previous ex vivo comparison of GLPG3970 with","GLPG3970 effectively suppressed inflammatory signalling in UC ex vivo biopsies. Network analysis showed enhanced extracellular 
remodelling in bio-experienced patients, with GLPG3970 reversing connective tissue-related processes in this group. These findings emphasize the 
importance of considering prior treatment exposure in patient stratification and preclinical study design.","true","Abstract"
"jjaf231.293","P0112","Poster","Treatment effect of extracellular vesicles extracted from Tonsil-derived mesenchymal stem cells in murine colitis model","9","657","Despite recent therapeutic advances, 30–40% of patients with inflammatory bowel disease (IBD) fail to respond to current treatments. 
Mesenchymal stem cell (MSC)–based therapies have emerged as a promising option, yet safety and delivery limitations hinder their clinical translation. 
Extracellular vesicles (EVs), key mediators of paracrine signaling, may offer a safer and more feasible alternative. This study evaluated the efficacy 
of Tonsil-derived MSCs (TMSCs)-derived EVs (TMSC-EVs) in a Acu","In this study, TMSC-EVs showed superior therapeutic efficacy compared with TMSCs, reflected by greater improvements in histopatho­
logic scores and colon shortening. This enhanced treatment effect could be driven by their ability to suppress key pro-inflammatory cytokines such 
as IL-1β and MCP-1, and enhanced delivery of inflamed tissue demonstrated by infiltration of TMSC-EVs into colonic tissue in IVIS.","true","Abstract"
"jjaf231.294","P0113","Poster","Activated PD-1+TIGIT+ T-Cells Define a Tissue-Specific Immune Signature in Active Ulcerative Colitis","7","659","Immune checkpoints critically regulate T-cell activation and tolerance, yet their role in mucosal immune dysregulation in ulcerative 
colitis (UC) remains poorly defined. While expansion of regulatory T cells (Treg) in active UC is well-documented, how checkpoints and activation 
markers shape local T-cell phenotypes remains unclear. Indeed, the paradoxical co-expression of activation and exhaustion markers suggests a complex 
immune state that may underlie ineffective regulation or persistent i","We hereby have identified a unique PD-1+TIGIT+HLA-DR+CD25+ T-cell subset enriched in the inflamed mucosa from aUC but largely 
absent in remission and controls. This subset may serve as a biomarker of active disease, reflect local immune induction, and illustrate the coexistence 
of activation and exhaustion that characterizes chronic intestinal inflammation.","false","Abstract"
"jjaf231.295","P0114","Poster","GPR15-mediated trafficking of antibody-secreting cells in Inflammatory Bowel Disease","5","661","T cells critically shape intestinal inflammation in IBD. However, increasing evidence supports a critical role also of the B cell compart­
ment, as suggested by the identification of anti-αvβ6 auto-antibodies [1], and by successful treatment of ulcerative colitis with CD19 CAR-T cells [2]. 
Consistently, the switch from an IgA-secreting to an IgG-secreting environment is associated with more pro-inflammatory signaling and tissue damage 
in IBD [3]. Thus, the homing process of antibody-secreting ","Our data support the hypothesis that GPR15:GPR15L preferentially affects the intestinal trafficking process of ASC and thereby mediates 
intestinal inflammation in IBD.","true","Abstract"
"jjaf231.296","P0115","Poster","Selective SIK2 inhibition suppresses intestinal inflammation and promotes mucosal healing in models of colitis","12","663","Salt-inducible kinases (SIKs) amplify proinflammatory gene expression in myeloid cells via phosphorylation of transcriptional coregu­
lators.1 Among the three SIK isoforms, SIK2 shows the highest kinase activity in myeloid cells. Genetic loss-of-function (LOF) of SIK2 in mice or use 
of pan-SIK inhibitors decreases proinflammatory cytokines (TNFα, IL-12/23, IL-6, and IL-1β) induced by Toll-like receptor (TLR) or IL-1 receptor 
(IL-1R) agonists.1,2 SIK2 LOF also enhances production of the anti-in","Our first-in-class highly selective small molecule SIK2 kinase inhibitors represent a unique mechanism of downregulating intestinal 
inflammation and upregulating mucosal healing, offering a novel oral therapeutic approach for IBD.","false","Abstract"
"jjaf231.297","P0116","Poster","The dietary flavonoid apigenin modulates human intestinal inflammation: A Multi-Platform Ex-Vivo Study in IBD","10","665","Inflammatory bowel diseases (IBD) are chronic inflammatory disorders shaped by environmental factors, including diet. The Mediterranean 
diet, beneficial for IBD, is rich in flavonoids. Apigenin, a dietary flavonoid with suggested anti-inflammatory effects in experimental IBD models, was 
thus selected as a prototype flavonoid for testing its effects on the human intestinal mucosa, and the underlying mechanisms.","Apigenin exerts anti-inflammatory effects in human intestinal mucosa, modifying both immune and epithelial pathways. Ex-vivo testing 
of dietary metabolites like apigenin may provide a functional framework for predicting individual responses and advancing mechanism-based nutri­
tional therapy in IBD.","false","Abstract"
"jjaf231.298","P0117","Poster","Fibroblast activation protein is selectively expressed by CD90+ fibroblasts in inflammatory bowel disease-associated intestinal fibrosis","10","667","Intestinal fibrosis is a common complication in inflammatory bowel disease (IBD), and diagnostic modalities to detect and determine 
the degree of fibrosis are limited. Fibroblast activation protein (FAP) is virtually absent in healthy tissues, but is increased in malignancies, and in 
immune-mediated inflammatory diseases. Here, we investigated the presence of FAP in fibrostenotic and inflamed resection specimens from Crohn’s 
disease (CD) and ulcerative colitis (UC) patients and defined its ce","FAP is strongly upregulated in fibrostenotic CD and inflamed intestinal tissues in UC and is predominantly expressed by CD90+ fibro­
blasts, showing distinct spatial distribution patterns in CD and UC.","true","Abstract"
"jjaf231.299","P0118","Poster","Plasma proteomic signatures relate to disease course and intestinal immune responses, uncovering immunotypes among Crohn’s Disease and Ulcerative Colitis patients","9","669","Plasma immune proteomics is a potent tool to identify patient-specific immunotypes needed for tailored treatment of inflammatory 
bowel disease. Implementation requires in-depth understanding of how plasma immune profiles differ between Crohn’s disease (CD) and ulcerative 
colitis (UC), and relate to underlying intestinal and systemic memory T helper cell (ThM) responses, intestinal permeability, and severity of clinical 
and histological disease.","In CD and UC, plasma protein profiles capture severity of ongoing intestinal immune responses. In UC, they have a linear relationship 
with extent and degree of intestinal immune infiltration, while they capture qualitative intestinal tissue- and blood- ThM responses in CD.","false","Abstract"
"jjaf231.300","P0119","Poster","Simple short-term nut supplementation induced beneficial shifts in the fecal metabolite and microbial profiles in Inflammatory Bowel Disease and healthy controls","9","670","Inflammatory bowel disease (IBD) impairs gut barrier integrity and is linked to altered microbiota and metabolite profiles[1]. Identifying 
simple, accessible, palatable, uncooked, non-processed, and non-rotten dietary strategies to support gut health in IBD remains a key challenge. Nuts 
are nutrient-dense foods rich in fiber, unsaturated fats, and polyphenols, all of which may positively influence gut health. We aimed to evaluate whether 
short-term daily nut supplementation can modulate the g","Short-term, simple, daily nut supplementation was associated with significant changes in gut signal in both IBD patients and healthy 
controls, further enhancing a health-related pattern, as changes noted in the IBD population upon nut exposures deviated towards the more normal 
control signals. This raises the possibility that nuts could represent a simple and accessible dietary approach to promote gut health in IBD.","true","Abstract"
"jjaf231.301","P0120","Poster","Lifestyle and Geographic Influences Shape Gut Enterotypes and Microbial Dysbiosis in Inflammatory Bowel Disease","6","673","Gut microbial enterotypes are distinct community structures dominated by specific bacterial taxa and often reflect host health status. 
However, their geographical variability and relevance in inflammatory bowel disease (IBD) remain underexplored. This study investigates the asso­
ciation between gut enterotypes, lifestyle factors, and disease status across healthy Indian and US individuals and patients with IBD.","Distinct enterotype distributions across populations highlight geographic, dietary and lifestyle influences on gut ecology. IBD is marked 
by enterotype shifts toward pro-inflammatory taxa, highlighting microbiome–lifestyle interactions in disease susceptibility.","true","Abstract"
"jjaf231.302","P0121","Poster","Molecular Signatures of Epithelial Remodelling Associate with Surgical Repair Feasibility and Ileostomy Risk in Perianal Fistulising Crohn’s disease","9","675","Perianal fistulising Crohn’s disease (pCD) affects 20-50% of Crohn’s disease (CD) patients with ∼90% requiring a surgical procedure 
at least once. The recently proposed TopClass framework provides a pragmatic clinical classification of pCD1. Class 2a denotes patients suitable for 
repair through medical-surgical management, whereas classes 2b or higher denotes stages where symptom control rather than repair becomes the 
primary treatment goal. However, the molecular mechanisms underlying these ","This study demonstrates a clinically meaningful molecular stratification of pCD by assigning distinct epithelial remodelling 
signatures—independent of proctitis—to three patient classes. These classes exhibit clear clinical distinctions, separating repair-amenable presentations 
from more aggressive disease associated with higher inflammatory burden and progression to ileostomy within TopClass 2a.","true","Abstract"
"jjaf231.303","P0122","Poster","A trimer-disassembling anti-TL1A monoclonal antibody","16","679","Dysregulated cytokine networks are associated with inflammatory diseases like inflammatory bowel disease (IBD). TL1A, a TNF super­
family member, plays a key role in both inflammation and fibrosis via interaction with its receptor DR3. Several clinical-stage anti-TL1A antibodies 
have shown promising efficacy in patients with IBD. However, there remains a need to further improve efficacy, safety, and dosing intervals. Here, 
we characterize a humanized anti-TL1A antibody with a unique mechanism ","This humanized anti-TL1A antibody adopts a novel trimer-disassembling mechanism to inhibit TL1A signaling and limit large immune 
complex formation. Further development of multivalent, multispecific formats targeting TL1A and orthogonal pathways (e.g., IL-23) is warranted 
to raise the efficacy ceiling for the treatment of IBD.","false","Abstract"
"jjaf231.304","P0123","Poster","Therapy shapes disease: Biologic exposure drives extracellular matrix reprogramming in ulcerative colitis","9","681","Biologic therapy may imprint lasting molecular changes in IBD. Given the evolving view of ulcerative colitis (UC) as more than a mucosal 
disease1 and the higher treatment failure in biologic-experienced patients,2-3 we explored whether bio-naive and bio-experienced UC biopsies display 
distinct intrinsic molecular profiles.","Our data reveal intrinsic molecular reprogramming in biologic-experienced UC, marked by persistent activation of ECM and fibrotic 
pathways independent of inflammation, disease duration, or ex vivo treatment. These findings underscore the need to re-think the definition of UC 
as a non-fibrotic disease1. Recognizing therapy history as a molecular determinant is essential for interpreting treatment response and designing future 
translational and preclinical studies.","true","Abstract"
"jjaf231.305","P0124","Poster","cGAS-STING in Inflammatory Bowel Disease—and repression by SCFAs through a HDAC-mediated mechanism","5","685","Factors contributing to non-response to targeted immune therapies for IBD are not well understood. Activation of cGAS-STING in 
macrophages culminates in the release of vast amounts of interferon (IFN) and chemokines and likely negatively impacts responsiveness to therapy. 
Evidence shows that IFN responses are heightened in myeloid cells of non-responders to anti-TNF therapy for Ulcerative colitis1. Furthermore, ablation 
of STING has been encouraging at relieving inflammation in mouse models o","cGAS-STING activation can be detrimental during chronic inflammation, and we have identified markers of this pathway in IBD 
non-responders. In-vitro models of cGAS-STING show muted IFN and chemokine secretion in the presence of microbiome-derived butyrate—likely 
though a HDAC-mediated mechanism. Together, these findings highlight cGAS-STING as a target for therapeutic modulation, especially mediated 
by butyrate —and suggest microbial metabolites could be a complementary strategy for reducing ","false","Abstract"
"jjaf231.306","P0125","Poster","Enhanced fecal protease activity in inflammatory bowel diseases is driven by human proteases and is effectively inhibited by protease inhibitors isolated from potato","9","686","Enhanced intestinal proteolytic activity contributes to the pathophysiology of inflammatory bowel disease (IBD) through multiple 
mechanisms, including increased intestinal barrier permeability and activation of immune responses. The relative contribution of host- and 
microbe-derived proteases to total fecal protease activity, and the specific identity of the overactive proteases, are not sufficiently understood. Moreover, 
limited therapeutic strategies targeting these proteases exist. Potatoe","The enhanced protease activity in IBD faeces is mainly driven by human proteases and is efficiently suppressed by a protease inhibitor-rich 
fraction from potato, which may have therapeutic potential to reduce intestinal inflammation in IBD patients by restoring proteolytic homeostasis.","false","Abstract"
"jjaf231.307","P0126","Poster","GS-8670: An Intestinally Targeted Farnesoid X Receptor Agonist Restoring Barrier Integrity and Demonstrating Robust Efficacy in Colitis Models","10","687","Inflammatory bowel disease (IBD), including ulcerative colitis (UC) and Crohn’s disease, arises from a complex interplay of immune 
dysregulation, genetic predisposition, epithelial barrier disruption, and altered microbiota composition. Barrier defects are a hallmark of UC, allowing 
translocation of bacterial products and amplifying immune responses. (1) Current advanced therapies primarily target immune pathways but do not 
directly restore barrier integrity — a critical unmet need. Farnesoid","GS-8670 demonstrated robust efficacy in two distinct colitis models and promoted epithelial barrier restoration both in vivo and in vitro. 
These findings support GS-8670 as a promising oral therapy for IBD, complementing current anti-inflammatory approaches by directly targeting 
barrier integrity.","false","Abstract"
"jjaf231.308","P0127","Poster","Unravelling IL-33/ST2 Mucosal Patterns in Crohn’s Disease and Ulcerative Colitis","10","689","The IL-33/ST2 signalling pathway is an important mediator of mucosal immunity and epithelial barrier homeostasis. However, its 
distribution within inflammatory bowel disease (IBD) tissues—across both Crohn’s disease (CD) and ulcerative colitis (UC)—is still not fully delineated, 
particularly with respect to anatomical site and disease phenotype.","This study highlights a consistent co-expression of IL-33 and ST2 in the mucosa of IBD patients, with IL-33 levels significantly increased 
in Crohn’s disease and exhibiting regional variation along the gastrointestinal tract. These findings underscore the biological importance of the IL-33/
ST2 axis in the immune landscape of IBD and pave the way for future research into its mechanistic and clinical implications.
This work was supported by the Ministry of University and Research, Italy, PRIN pr","false","Abstract"
"jjaf231.309","P0128","Poster","Targeting the ‘Gut Microbiota-Diet-Immunometabolism’ Axis for the Alleviation of Ulcerative Colitis","5","690","The global incidence of ulcerative colitis (UC) continues to rise, driven by the complex interplay between genetic susceptibility and 
environmental factors. The gut microbiota, as a key environmental factor, plays a central role in regulating intestinal mucosal immune responses. 
However, clinical strategies that effectively integrate microbiome research with personalized dietary interventions remain insufficient.","This study proposes an innovative “Microbiome–Enzyme–Diet–Immunometabolism” strategy for precision nutritional intervention, 
offering new insights into UC pathogenesis and identifying novel avenues for targeted nutritional therapy.","false","Abstract"
"jjaf231.310","P0129","Poster","Plasma isomiR profiling reveals fibrosis-related signatures in fistulising Crohn’s disease","9","691","Fistulising Crohn’s disease (CD) is a severe phenotype lacking reliable biomarkers for prediction and stratification. MicroRNAs (miR­
NAs) regulate gene expression post-transcriptionally, while isomiRs, sequence variants of miRNAs, may provide enhanced specificity and functional 
relevance. This study aimed to characterise plasma miRNAs and isomiRs associated with fistula formation in CD.","Plasma isomiR profiling provides higher resolution than canonical miRNAs for molecular stratification of fistulising CD. The identified 
isomiRs highlight fibrotic and extracellular matrix-remodeling pathways, supporting their potential as circulating biomarkers for fistulising phenotypes.","false","Abstract"
"jjaf231.311","P0130","Poster","Roseomonas mucosa drives epithelial EMT and profibrotic fibroblast phenotypes, revealing a microbiota-dependent mechanism of intestinal fibrosis","10","692","Intestinal fibrosis remains a major unmet need in Crohn’s disease (CD). Current therapies target inflammation but do not prevent or 
reverse fibrotic progression, suggesting that additional drivers may be involved. Using multi-omic analyses, we identified Roseomonas mucosa as 
enriched in fibrotic CD mucosa. This study investigates whether R. mucosa contributes to epithelial barrier failure and stromal activation—two key 
events in fibrosis development.","Roseomonas mucosa impairs epithelial barrier function and activates PDPN+ profibrotic fibroblasts, with amplified effects through epithelial–stromal 
crosstalk, supporting a microbiota-driven mechanism of mucosal remodeling in Crohn’s disease.","false","Abstract"
"jjaf231.312","P0131","Poster","The role of vasoactive intestinal peptide in colonic epithelial protection","10","693","Vasoactive Intestinal Peptide (VIP) is a neuropeptide widely expressed by neurons of the enteric nervous system. Effects of VIP on 
intestinal motility, mucosal vasodilation and gastric secretion are well-studied [1]. Further, VIP is discussed to play a pivotal role in intestinal injury. 
It was shown that VIP can modulate immune responses and ameliorate inflammation in murine colitis models [1]. Previously, we were able to show 
that VIP can modulate the small intestinal epithelium directly, by","Our findings suggest that VIP promotes secretory differentiation and activates protective stress response pathways in the colonic epithe­
lium, thereby reinforcing mucosal barrier and modulating epithelial inflammation. These results highlight VIP as a potential therapeutic modulator 
of mucosal repair in inflammatory colonic injury.","false","Abstract"
